word,zipf_frequency,ends_with_s,is_plural,is_conjugation,is_place
grassland,3.04,No,No,No,No
merciless,3.04,Yes,No,No,No
remodeled,3.04,No,No,Yes,No
replenish,3.04,No,No,No,No
saltwater,3.04,No,No,No,No
schoolers,3.04,Yes,No,No,No
scrimmage,3.04,No,No,No,No
shortstop,3.04,No,No,No,No
smoothing,3.04,No,No,Yes,No
stalemate,3.04,No,No,No,No
streetcar,3.04,No,No,No,No
supremely,3.04,No,No,No,No
symbolize,3.04,No,No,No,No
tenacious,3.04,Yes,No,No,No
undefined,3.04,No,No,Yes,No
westbound,3.04,No,No,No,No
byproduct,3.03,No,No,No,No
configure,3.03,No,No,No,No
congolese,3.03,No,No,No,No
contagion,3.03,No,No,No,No
dispenser,3.03,No,No,No,No
dragonfly,3.03,No,No,No,No
emanating,3.03,No,No,Yes,No
evocative,3.03,No,No,No,No
fingering,3.03,No,No,Yes,No
incessant,3.03,No,No,No,No
incurable,3.03,No,No,No,No
infringed,3.03,No,No,Yes,No
inundated,3.03,No,No,Yes,No
invariant,3.03,No,No,No,No
jailbreak,3.03,No,No,No,No
magnetism,3.03,No,No,No,No
manoeuvre,3.03,No,No,No,No
milkshake,3.03,No,No,No,No
modernize,3.03,No,No,No,No
notifying,3.03,No,No,Yes,No
olfactory,3.03,No,No,No,No
petrified,3.03,No,No,Yes,No
radiating,3.03,No,No,Yes,No
scavenger,3.03,No,No,No,No
servitude,3.03,No,No,No,No
siegfried,3.03,No,No,Yes,No
steamboat,3.03,No,No,No,No
tasteless,3.03,Yes,No,No,No
truncated,3.03,No,No,Yes,No
untrained,3.03,No,No,Yes,No
wealthier,3.03,No,No,No,No
anarchism,3.02,No,No,No,No
apprehend,3.02,No,No,No,No
bystander,3.02,No,No,No,No
catchment,3.02,No,No,No,No
colorless,3.02,Yes,No,No,No
depriving,3.02,No,No,Yes,No
diarrhoea,3.02,No,No,No,No
disposing,3.02,No,No,Yes,No
elevating,3.02,No,No,Yes,No
escalator,3.02,No,No,No,No
fanatical,3.02,No,No,No,No
headlined,3.02,No,No,Yes,No
improvise,3.02,No,No,No,No
outwardly,3.02,No,No,No,No
racetrack,3.02,No,No,No,No
rescinded,3.02,No,No,Yes,No
roadblock,3.02,No,No,No,No
shoemaker,3.02,No,No,No,No
shortfall,3.02,No,No,No,No
smothered,3.02,No,No,Yes,No
sparingly,3.02,No,No,No,No
sumptuous,3.02,Yes,No,No,No
transmits,3.02,Yes,No,Yes,No
umbilical,3.02,No,No,No,No
whereupon,3.02,No,No,No,No
withdraws,3.02,Yes,No,Yes,No
aggressor,3.01,No,No,No,No
bickering,3.01,No,No,Yes,No
butchered,3.01,No,No,Yes,No
bypassing,3.01,No,No,Yes,No
capricorn,3.01,No,No,No,No
deciduous,3.01,Yes,No,No,No
equipping,3.01,No,No,Yes,No
evaporate,3.01,No,No,No,No
financier,3.01,No,No,No,No
formatted,3.01,No,No,Yes,No
hindrance,3.01,No,No,No,No
inanimate,3.01,No,No,No,No
innovator,3.01,No,No,No,No
legislate,3.01,No,No,No,No
mirroring,3.01,No,No,Yes,No
mistaking,3.01,No,No,Yes,No
passively,3.01,No,No,No,No
pepperoni,3.01,No,No,No,No
pitchfork,3.01,No,No,No,No
rationing,3.01,No,No,Yes,No
rearrange,3.01,No,No,No,No
redeeming,3.01,No,No,Yes,No
revolting,3.01,No,No,Yes,No
sharpness,3.01,Yes,No,No,No
sketching,3.01,No,No,Yes,No
skydiving,3.01,No,No,Yes,No
solitaire,3.01,No,No,No,No
sprinting,3.01,No,No,Yes,No
sweetened,3.01,No,No,Yes,No
untenable,3.01,No,No,No,No
usability,3.01,No,No,No,No
veritable,3.01,No,No,No,No
affective,3,No,No,No,No
amazement,3,No,No,No,No
bloodbath,3,No,No,No,No
conundrum,3,No,No,No,No
earmarked,3,No,No,Yes,No
embedding,3,No,No,Yes,No
extremity,3,No,No,No,No
gestation,3,No,No,No,No
nefarious,3,Yes,No,No,No
normalize,3,No,No,No,No
pantomime,3,No,No,No,No
peacetime,3,No,No,No,No
rainwater,3,No,No,No,No
reflector,3,No,No,No,No
renounced,3,No,No,Yes,No
segmented,3,No,No,Yes,No
succulent,3,No,No,No,No
surpasses,3,Yes,No,Yes,No
telemetry,3,No,No,No,No
testifies,3,Yes,No,Yes,No
whiteness,3,Yes,No,No,No
agonizing,2.99,No,No,Yes,No
biometric,2.99,No,No,No,No
blackened,2.99,No,No,Yes,No
colonized,2.99,No,No,Yes,No
columbian,2.99,No,No,No,No
dispensed,2.99,No,No,Yes,No
distanced,2.99,No,No,Yes,No
ephemeral,2.99,No,No,No,No
eponymous,2.99,Yes,No,No,No
escorting,2.99,No,No,Yes,No
fluctuate,2.99,No,No,No,No
frustrate,2.99,No,No,No,No
hardening,2.99,No,No,Yes,No
incarnate,2.99,No,No,No,No
ingestion,2.99,No,No,No,No
inquiring,2.99,No,No,Yes,No
magnified,2.99,No,No,Yes,No
mainframe,2.99,No,No,No,No
minuscule,2.99,No,No,No,No
neolithic,2.99,No,No,No,No
obsessing,2.99,No,No,Yes,No
outfitted,2.99,No,No,Yes,No
redefined,2.99,No,No,Yes,No
retriever,2.99,No,No,No,No
shredding,2.99,No,No,Yes,No
sportsmen,2.99,No,Yes,No,No
squatting,2.99,No,No,Yes,No
stonewall,2.99,No,No,No,No
thrashing,2.99,No,No,Yes,No
twitching,2.99,No,No,Yes,No
unhelpful,2.99,No,No,No,No
unscathed,2.99,No,No,Yes,No
whirlpool,2.99,No,No,No,No
archangel,2.98,No,No,No,No
bloodline,2.98,No,No,No,No
breaching,2.98,No,No,Yes,No
captaincy,2.98,No,No,No,No
checkmate,2.98,No,No,No,No
clinician,2.98,No,No,No,No
convinces,2.98,Yes,No,Yes,No
cosmology,2.98,No,No,No,No
deafening,2.98,No,No,Yes,No
divorcing,2.98,No,No,Yes,No
expedited,2.98,No,No,Yes,No
fragility,2.98,No,No,No,No
hatchback,2.98,No,No,No,No
instructs,2.98,Yes,No,Yes,No
jamestown,2.98,No,No,No,No
methadone,2.98,No,No,No,No
mitigated,2.98,No,No,Yes,No
networked,2.98,No,No,Yes,No
outnumber,2.98,No,No,No,No
ovulation,2.98,No,No,No,No
profusely,2.98,No,No,No,No
punctured,2.98,No,No,Yes,No
quadratic,2.98,No,No,No,No
repertory,2.98,No,No,No,No
snatching,2.98,No,No,Yes,No
stillness,2.98,Yes,No,No,No
supposing,2.98,No,No,Yes,No
underline,2.98,No,No,No,No
venturing,2.98,No,No,Yes,No
weighting,2.98,No,No,Yes,No
abhorrent,2.97,No,No,No,No
allowable,2.97,No,No,No,No
anaerobic,2.97,No,No,No,No
anchoring,2.97,No,No,Yes,No
avoidable,2.97,No,No,No,No
blackwood,2.97,No,No,No,No
bolshevik,2.97,No,No,No,No
carpentry,2.97,No,No,No,No
censoring,2.97,No,No,Yes,No
circadian,2.97,No,No,No,No
clarifies,2.97,Yes,No,Yes,No
deceitful,2.97,No,No,No,No
elegantly,2.97,No,No,No,No
embroiled,2.97,No,No,Yes,No
equalizer,2.97,No,No,No,No
evaluates,2.97,Yes,No,Yes,No
exuberant,2.97,No,No,No,No
facsimile,2.97,No,No,No,No
gibberish,2.97,No,No,No,No
grandiose,2.97,No,No,No,No
harmonica,2.97,No,No,No,No
headlight,2.97,No,No,No,No
housemate,2.97,No,No,No,No
instilled,2.97,No,No,Yes,No
lightness,2.97,Yes,No,No,No
mortified,2.97,No,No,Yes,No
navigable,2.97,No,No,No,No
overjoyed,2.97,No,No,Yes,No
pacemaker,2.97,No,No,No,No
pandering,2.97,No,No,Yes,No
pessimism,2.97,No,No,No,No
posterity,2.97,No,No,No,No
rejoicing,2.97,No,No,Yes,No
resentful,2.97,No,No,No,No
talkative,2.97,No,No,No,No
watermark,2.97,No,No,No,No
archetype,2.96,No,No,No,No
boardroom,2.96,No,No,No,No
chevalier,2.96,No,No,No,No
commences,2.96,Yes,No,Yes,No
commenter,2.96,No,No,No,No
contented,2.96,No,No,Yes,No
deference,2.96,No,No,No,No
descartes,2.96,Yes,No,No,No
edwardian,2.96,No,No,No,No
factoring,2.96,No,No,Yes,No
fieldwork,2.96,No,No,No,No
foolishly,2.96,No,No,No,No
geraldine,2.96,No,No,No,No
hexagonal,2.96,No,No,No,No
impactful,2.96,No,No,No,No
impotence,2.96,No,No,No,No
increment,2.96,No,No,No,No
infecting,2.96,No,No,Yes,No
melatonin,2.96,No,No,No,No
modulated,2.96,No,No,Yes,No
persevere,2.96,No,No,No,No
playfully,2.96,No,No,No,No
proclaims,2.96,Yes,No,Yes,No
profiting,2.96,No,No,Yes,No
soldering,2.96,No,No,Yes,No
sugarcane,2.96,No,No,No,No
tightness,2.96,Yes,No,No,No
tinkering,2.96,No,No,Yes,No
toothless,2.96,Yes,No,No,No
turntable,2.96,No,No,No,No
undressed,2.96,No,No,Yes,No
uruguayan,2.96,No,No,No,No
amorphous,2.95,Yes,No,No,No
audacious,2.95,Yes,No,No,No
beheading,2.95,No,No,Yes,No
caledonia,2.95,No,No,No,No
captioned,2.95,No,No,Yes,No
centering,2.95,No,No,Yes,No
colliding,2.95,No,No,Yes,No
coriander,2.95,No,No,No,No
crucially,2.95,No,No,No,No
damnation,2.95,No,No,No,No
decorator,2.95,No,No,No,No
delirious,2.95,Yes,No,No,No
dissipate,2.95,No,No,No,No
expectant,2.95,No,No,No,No
geriatric,2.95,No,No,No,No
goddammit,2.95,No,No,No,No
goddamned,2.95,No,No,Yes,No
guidebook,2.95,No,No,No,No
hindustan,2.95,No,No,No,No
incursion,2.95,No,No,No,No
loosening,2.95,No,No,Yes,No
mongering,2.95,No,No,Yes,No
morbidity,2.95,No,No,No,No
muttering,2.95,No,No,Yes,No
northerly,2.95,No,No,No,No
plundered,2.95,No,No,Yes,No
priestess,2.95,Yes,No,No,No
reelected,2.95,No,No,Yes,No
resonated,2.95,No,No,Yes,No
retelling,2.95,No,No,Yes,No
reuniting,2.95,No,No,Yes,No
slingshot,2.95,No,No,No,No
tarnished,2.95,No,No,Yes,No
whitfield,2.95,No,No,No,No
anomalous,2.94,Yes,No,No,No
astounded,2.94,No,No,Yes,No
boycotted,2.94,No,No,Yes,No
channeled,2.94,No,No,Yes,No
childlike,2.94,No,No,No,No
cluttered,2.94,No,No,Yes,No
deepwater,2.94,No,No,No,No
dependant,2.94,No,No,No,No
enlisting,2.94,No,No,Yes,No
etymology,2.94,No,No,No,No
excalibur,2.94,No,No,No,No
federated,2.94,No,No,Yes,No
headliner,2.94,No,No,No,No
honeycomb,2.94,No,No,No,No
idealized,2.94,No,No,Yes,No
indemnity,2.94,No,No,No,No
installer,2.94,No,No,No,No
mausoleum,2.94,No,No,No,No
perceives,2.94,Yes,No,Yes,No
picturing,2.94,No,No,Yes,No
pituitary,2.94,No,No,No,No
repellent,2.94,No,No,No,No
scorecard,2.94,No,No,No,No
springing,2.94,No,No,Yes,No
tangerine,2.94,No,No,No,No
thrusting,2.94,No,No,Yes,No
unclaimed,2.94,No,No,Yes,No
amputated,2.93,No,No,Yes,No
captained,2.93,No,No,Yes,No
citizenry,2.93,No,No,No,No
confidant,2.93,No,No,No,No
deflation,2.93,No,No,No,No
demeaning,2.93,No,No,Yes,No
dictating,2.93,No,No,Yes,No
doctrinal,2.93,No,No,No,No
encircled,2.93,No,No,Yes,No
flustered,2.93,No,No,Yes,No
galloping,2.93,No,No,Yes,No
hindering,2.93,No,No,Yes,No
husbandry,2.93,No,No,No,No
hyperbole,2.93,No,No,No,No
ibuprofen,2.93,No,No,No,No
magdalene,2.93,No,No,No,No
medicated,2.93,No,No,Yes,No
midwifery,2.93,No,No,No,No
monsignor,2.93,No,No,No,No
moonshine,2.93,No,No,No,No
normality,2.93,No,No,No,No
overcomes,2.93,Yes,No,Yes,No
pinocchio,2.93,No,No,No,No
refueling,2.93,No,No,Yes,No
reserving,2.93,No,No,Yes,No
scrapbook,2.93,No,No,No,No
separator,2.93,No,No,No,No
solicited,2.93,No,No,Yes,No
splendour,2.93,No,No,No,No
subsidize,2.93,No,No,No,No
symbiotic,2.93,No,No,No,No
traversed,2.93,No,No,Yes,No
viciously,2.93,No,No,No,No
worksheet,2.93,No,No,No,No
ayatollah,2.92,No,No,No,No
bookshelf,2.92,No,No,No,No
brotherly,2.92,No,No,No,No
buffering,2.92,No,No,Yes,No
bumblebee,2.92,No,No,No,No
catechism,2.92,No,No,No,No
causality,2.92,No,No,No,No
combatant,2.92,No,No,No,No
concealer,2.92,No,No,No,No
dribbling,2.92,No,No,Yes,No
enveloped,2.92,No,No,Yes,No
epileptic,2.92,No,No,No,No
euphemism,2.92,No,No,No,No
falsehood,2.92,No,No,No,No
falsified,2.92,No,No,Yes,No
firestorm,2.92,No,No,No,No
godmother,2.92,No,No,No,No
hermitage,2.92,No,No,No,No
hourglass,2.92,Yes,No,No,No
levelling,2.92,No,No,Yes,No
liquefied,2.92,No,No,Yes,No
manchuria,2.92,No,No,No,No
matrimony,2.92,No,No,No,No
minefield,2.92,No,No,No,No
narrating,2.92,No,No,Yes,No
playmaker,2.92,No,No,No,No
printable,2.92,No,No,No,No
procuring,2.92,No,No,Yes,No
rectified,2.92,No,No,Yes,No
refinance,2.92,No,No,No,No
reformist,2.92,No,No,No,No
refresher,2.92,No,No,No,No
sabotaged,2.92,No,No,Yes,No
saskatoon,2.92,No,No,No,No
seclusion,2.92,No,No,No,No
signatory,2.92,No,No,No,No
slovenian,2.92,No,No,No,No
summation,2.92,No,No,No,No
surfacing,2.92,No,No,Yes,No
tiredness,2.92,Yes,No,No,No
weirdness,2.92,Yes,No,No,No
admirably,2.91,No,No,No,No
aphrodite,2.91,No,No,No,No
bannister,2.91,No,No,No,No
blackbird,2.91,No,No,No,No
chromatic,2.91,No,No,No,No
columbine,2.91,No,No,No,No
converged,2.91,No,No,Yes,No
crackling,2.91,No,No,Yes,No
crouching,2.91,No,No,Yes,No
defection,2.91,No,No,No,No
digitized,2.91,No,No,Yes,No
dissected,2.91,No,No,Yes,No
dynamical,2.91,No,No,No,No
esophagus,2.91,Yes,No,No,No
guacamole,2.91,No,No,No,No
harbinger,2.91,No,No,No,No
harnessed,2.91,No,No,Yes,No
hydroxide,2.91,No,No,No,No
introvert,2.91,No,No,No,No
kitchener,2.91,No,No,No,No
laterally,2.91,No,No,No,No
liberally,2.91,No,No,No,No
newmarket,2.91,No,No,No,No
plummeted,2.91,No,No,Yes,No
pulsating,2.91,No,No,Yes,No
recessive,2.91,No,No,No,No
reclining,2.91,No,No,Yes,No
repugnant,2.91,No,No,No,No
spineless,2.91,Yes,No,No,No
stairwell,2.91,No,No,No,No
threading,2.91,No,No,Yes,No
triumphed,2.91,No,No,Yes,No
woodhouse,2.91,No,No,No,No
aggrieved,2.9,No,No,Yes,No
albatross,2.9,Yes,No,No,No
antivirus,2.9,Yes,No,No,No
blossomed,2.9,No,No,Yes,No
bolstered,2.9,No,No,Yes,No
concourse,2.9,No,No,No,No
dandelion,2.9,No,No,No,No
devouring,2.9,No,No,Yes,No
disengage,2.9,No,No,No,No
eagerness,2.9,Yes,No,No,No
epicenter,2.9,No,No,No,No
erstwhile,2.9,No,No,No,No
flagstaff,2.9,No,No,No,No
gabriella,2.9,No,No,No,No
grapevine,2.9,No,No,No,No
groundhog,2.9,No,No,No,No
inductive,2.9,No,No,No,No
messianic,2.9,No,No,No,No
motivator,2.9,No,No,No,No
obscenity,2.9,No,No,No,No
patrolled,2.9,No,No,Yes,No
pluralism,2.9,No,No,No,No
posturing,2.9,No,No,Yes,No
predation,2.9,No,No,No,No
prospered,2.9,No,No,Yes,No
recursive,2.9,No,No,No,No
reprimand,2.9,No,No,No,No
reverting,2.9,No,No,Yes,No
sweetener,2.9,No,No,No,No
taxonomic,2.9,No,No,No,No
tunneling,2.9,No,No,Yes,No
unitarian,2.9,No,No,No,No
whitening,2.9,No,No,Yes,No
worshiped,2.9,No,No,Yes,No
biosphere,2.89,No,No,No,No
checkered,2.89,No,No,Yes,No
clipboard,2.89,No,No,No,No
confessor,2.89,No,No,No,No
debugging,2.89,No,No,Yes,No
disputing,2.89,No,No,Yes,No
euphrates,2.89,Yes,No,No,No
fabricate,2.89,No,No,No,No
grumbling,2.89,No,No,Yes,No
hibernian,2.89,No,No,No,No
imprinted,2.89,No,No,Yes,No
lamenting,2.89,No,No,Yes,No
marmalade,2.89,No,No,No,No
molesting,2.89,No,No,Yes,No
objecting,2.89,No,No,Yes,No
ordinated,2.89,No,No,Yes,No
outscored,2.89,No,No,Yes,No
psoriasis,2.89,Yes,No,No,No
reworking,2.89,No,No,Yes,No
shrinkage,2.89,No,No,No,No
snowstorm,2.89,No,No,No,No
socialite,2.89,No,No,No,No
southerly,2.89,No,No,No,No
strapping,2.89,No,No,Yes,No
telephony,2.89,No,No,No,No
thickened,2.89,No,No,Yes,No
unpacking,2.89,No,No,Yes,No
appointee,2.88,No,No,No,No
asymmetry,2.88,No,No,No,No
befitting,2.88,No,No,Yes,No
blackface,2.88,No,No,No,No
bountiful,2.88,No,No,No,No
bulldozer,2.88,No,No,No,No
capillary,2.88,No,No,No,No
chieftain,2.88,No,No,No,No
cirrhosis,2.88,Yes,No,No,No
combative,2.88,No,No,No,No
conceited,2.88,No,No,Yes,No
defaulted,2.88,No,No,Yes,No
draconian,2.88,No,No,No,No
firefight,2.88,No,No,No,No
firestone,2.88,No,No,No,No
firstborn,2.88,No,No,No,No
glutamate,2.88,No,No,No,No
incurring,2.88,No,No,Yes,No
lifesaver,2.88,No,No,No,No
localised,2.88,No,No,Yes,No
minimizes,2.88,Yes,No,Yes,No
overthrew,2.88,No,No,Yes,No
panhandle,2.88,No,No,No,No
paralysed,2.88,No,No,Yes,No
porcupine,2.88,No,No,No,No
sculpting,2.88,No,No,Yes,No
shortness,2.88,Yes,No,No,No
signalled,2.88,No,No,Yes,No
statesmen,2.88,No,Yes,No,No
strongman,2.88,No,No,No,No
telepathy,2.88,No,No,No,No
thesaurus,2.88,Yes,No,No,No
waterfowl,2.88,No,No,No,No
womanhood,2.88,No,No,No,No
worrisome,2.88,No,No,No,No
ascendant,2.87,No,No,No,No
battering,2.87,No,No,Yes,No
bootstrap,2.87,No,No,No,No
climactic,2.87,No,No,No,No
conjuring,2.87,No,No,Yes,No
consigned,2.87,No,No,Yes,No
discloses,2.87,Yes,No,Yes,No
earnestly,2.87,No,No,No,No
effecting,2.87,No,No,Yes,No
firehouse,2.87,No,No,No,No
foolproof,2.87,No,No,No,No
forgetful,2.87,No,No,No,No
gallantry,2.87,No,No,No,No
governess,2.87,Yes,No,No,No
gravitate,2.87,No,No,No,No
harvester,2.87,No,No,No,No
heartburn,2.87,No,No,No,No
hillbilly,2.87,No,No,No,No
honouring,2.87,No,No,Yes,No
microchip,2.87,No,No,No,No
pensioner,2.87,No,No,No,No
periscope,2.87,No,No,No,No
regionals,2.87,Yes,No,No,No
reshaping,2.87,No,No,Yes,No
sequenced,2.87,No,No,Yes,No
spiraling,2.87,No,No,Yes,No
subsystem,2.87,No,No,No,No
trickster,2.87,No,No,No,No
appetizer,2.86,No,No,No,No
arrowhead,2.86,No,No,No,No
beryllium,2.86,No,No,No,No
betrothed,2.86,No,No,Yes,No
champlain,2.86,No,No,No,No
condenser,2.86,No,No,No,No
conjugate,2.86,No,No,No,No
cutaneous,2.86,Yes,No,No,No
decadence,2.86,No,No,No,No
depravity,2.86,No,No,No,No
garibaldi,2.86,No,No,No,No
glassware,2.86,No,No,No,No
harlequin,2.86,No,No,No,No
indignant,2.86,No,No,No,No
infertile,2.86,No,No,No,No
insolvent,2.86,No,No,No,No
iterative,2.86,No,No,No,No
middleman,2.86,No,No,No,No
outweighs,2.86,Yes,No,Yes,No
publicize,2.86,No,No,No,No
racehorse,2.86,No,No,No,No
rebounded,2.86,No,No,Yes,No
shrieking,2.86,No,No,Yes,No
simmering,2.86,No,No,Yes,No
suffocate,2.86,No,No,No,No
transvaal,2.86,No,No,No,No
unbridled,2.86,No,No,Yes,No
unopposed,2.86,No,No,Yes,No
annulment,2.85,No,No,No,No
bargained,2.85,No,No,Yes,No
broadside,2.85,No,No,No,No
councilor,2.85,No,No,No,No
desertion,2.85,No,No,No,No
excelsior,2.85,No,No,No,No
frostbite,2.85,No,No,No,No
heretical,2.85,No,No,No,No
immutable,2.85,No,No,No,No
malayalam,2.85,No,No,No,No
menagerie,2.85,No,No,No,No
oligarchy,2.85,No,No,No,No
overpower,2.85,No,No,No,No
penniless,2.85,Yes,No,No,No
predicate,2.85,No,No,No,No
refrained,2.85,No,No,Yes,No
stateless,2.85,Yes,No,No,No
stateside,2.85,No,No,No,No
treatable,2.85,No,No,No,No
undergrad,2.85,No,No,No,No
underpaid,2.85,No,No,Yes,No
uninvited,2.85,No,No,Yes,No
unnerving,2.85,No,No,Yes,No
utilising,2.85,No,No,Yes,No
workspace,2.85,No,No,No,No
apathetic,2.84,No,No,No,No
backwater,2.84,No,No,No,No
billiards,2.84,Yes,No,No,No
cascading,2.84,No,No,Yes,No
colosseum,2.84,No,No,No,No
crediting,2.84,No,No,Yes,No
cutthroat,2.84,No,No,No,No
disarming,2.84,No,No,Yes,No
enclosing,2.84,No,No,Yes,No
exchanger,2.84,No,No,No,No
favouring,2.84,No,No,Yes,No
harboring,2.84,No,No,Yes,No
implicate,2.84,No,No,No,No
impounded,2.84,No,No,Yes,No
inversely,2.84,No,No,No,No
irrigated,2.84,No,No,Yes,No
irritates,2.84,Yes,No,Yes,No
lactation,2.84,No,No,No,No
overdraft,2.84,No,No,No,No
pantyhose,2.84,No,No,No,No
parentage,2.84,No,No,No,No
pentecost,2.84,No,No,No,No
pigmented,2.84,No,No,Yes,No
reflexive,2.84,No,No,No,No
reminisce,2.84,No,No,No,No
shadowing,2.84,No,No,Yes,No
sprouting,2.84,No,No,Yes,No
strictest,2.84,No,No,No,No
symphonic,2.84,No,No,No,No
antiviral,2.83,No,No,No,No
chuckling,2.83,No,No,Yes,No
crescendo,2.83,No,No,No,No
deformity,2.83,No,No,No,No
dystrophy,2.83,No,No,No,No
eloquence,2.83,No,No,No,No
excrement,2.83,No,No,No,No
expedient,2.83,No,No,No,No
hydrology,2.83,No,No,No,No
incubated,2.83,No,No,Yes,No
innermost,2.83,No,No,No,No
insoluble,2.83,No,No,No,No
margarine,2.83,No,No,No,No
mayflower,2.83,No,No,No,No
nourished,2.83,No,No,Yes,No
overblown,2.83,No,No,No,No
quickness,2.83,Yes,No,No,No
spacetime,2.83,No,No,No,No
spearhead,2.83,No,No,No,No
subtitled,2.83,No,No,Yes,No
summarily,2.83,No,No,No,No
swordsman,2.83,No,No,No,No
tribesmen,2.83,No,Yes,No,No
withstood,2.83,No,No,Yes,No
addicting,2.82,No,No,Yes,No
aimlessly,2.82,No,No,No,No
appellant,2.82,No,No,No,No
brimstone,2.82,No,No,No,No
cognizant,2.82,No,No,No,No
concubine,2.82,No,No,No,No
constrain,2.82,No,No,No,No
droppings,2.82,Yes,No,No,No
eminently,2.82,No,No,No,No
fantasize,2.82,No,No,No,No
frightful,2.82,No,No,No,No
indelible,2.82,No,No,No,No
infantile,2.82,No,No,No,No
itinerant,2.82,No,No,No,No
lymphatic,2.82,No,No,No,No
malleable,2.82,No,No,No,No
mediating,2.82,No,No,Yes,No
mercurial,2.82,No,No,No,No
millionth,2.82,No,No,No,No
overreact,2.82,No,No,No,No
peregrine,2.82,No,No,No,No
piecemeal,2.82,No,No,No,No
southland,2.82,No,No,No,No
swaziland,2.82,No,No,No,No
syntactic,2.82,No,No,No,No
theorized,2.82,No,No,Yes,No
whiteside,2.82,No,No,No,No
withering,2.82,No,No,Yes,No
absorbent,2.81,No,No,No,No
acrobatic,2.81,No,No,No,No
afrikaans,2.81,Yes,No,No,No
arbitrage,2.81,No,No,No,No
cathartic,2.81,No,No,No,No
cementing,2.81,No,No,Yes,No
comforter,2.81,No,No,No,No
distracts,2.81,Yes,No,Yes,No
eisenberg,2.81,No,No,No,No
excepting,2.81,No,No,Yes,No
factually,2.81,No,No,No,No
focussing,2.81,No,No,Yes,No
goldwater,2.81,No,No,No,No
hundredth,2.81,No,No,No,No
implosion,2.81,No,No,No,No
locksmith,2.81,No,No,No,No
lyrically,2.81,No,No,No,No
mandating,2.81,No,No,Yes,No
mezzanine,2.81,No,No,No,No
mistletoe,2.81,No,No,No,No
remarking,2.81,No,No,Yes,No
resetting,2.81,No,No,Yes,No
reshuffle,2.81,No,No,No,No
responder,2.81,No,No,No,No
roughness,2.81,Yes,No,No,No
surfboard,2.81,No,No,No,No
toothpick,2.81,No,No,No,No
tradesmen,2.81,No,Yes,No,No
twinkling,2.81,No,No,Yes,No
vertebral,2.81,No,No,No,No
whisperer,2.81,No,No,No,No
whitewash,2.81,No,No,No,No
wristband,2.81,No,No,No,No
aggravate,2.8,No,No,No,No
appraiser,2.8,No,No,No,No
arboretum,2.8,No,No,No,No
archivist,2.8,No,No,No,No
blameless,2.8,Yes,No,No,No
blindfold,2.8,No,No,No,No
byzantium,2.8,No,No,No,No
cervantes,2.8,Yes,No,No,No
clamoring,2.8,No,No,Yes,No
dollhouse,2.8,No,No,No,No
dramatist,2.8,No,No,No,No
dysentery,2.8,No,No,No,No
frenchmen,2.8,No,Yes,No,No
genocidal,2.8,No,No,No,No
greenleaf,2.8,No,No,No,No
hairspray,2.8,No,No,No,No
healthful,2.8,No,No,No,No
herbicide,2.8,No,No,No,No
homemaker,2.8,No,No,No,No
inclement,2.8,No,No,No,No
ingesting,2.8,No,No,Yes,No
laborious,2.8,Yes,No,No,No
liquidate,2.8,No,No,No,No
lowercase,2.8,No,No,No,No
maddening,2.8,No,No,Yes,No
massaging,2.8,No,No,Yes,No
mennonite,2.8,No,No,No,No
microcosm,2.8,No,No,No,No
nullified,2.8,No,No,Yes,No
orangutan,2.8,No,No,No,No
outplayed,2.8,No,No,Yes,No
politburo,2.8,No,No,No,No
pretender,2.8,No,No,No,No
resonator,2.8,No,No,No,No
schilling,2.8,No,No,Yes,No
signified,2.8,No,No,Yes,No
traceable,2.8,No,No,No,No
undamaged,2.8,No,No,Yes,No
urinating,2.8,No,No,Yes,No
workhouse,2.8,No,No,No,No
actuarial,2.79,No,No,No,No
adventist,2.79,No,No,No,No
angelique,2.79,No,No,No,No
artisanal,2.79,No,No,No,No
authorise,2.79,No,No,No,No
belvedere,2.79,No,No,No,No
buckwheat,2.79,No,No,No,No
buttercup,2.79,No,No,No,No
calibrate,2.79,No,No,No,No
centipede,2.79,No,No,No,No
chromatin,2.79,No,No,No,No
colluding,2.79,No,No,Yes,No
concocted,2.79,No,No,Yes,No
confucian,2.79,No,No,No,No
disrepair,2.79,No,No,No,No
emulating,2.79,No,No,Yes,No
engrossed,2.79,No,No,Yes,No
euclidean,2.79,No,No,No,No
fastening,2.79,No,No,Yes,No
gossiping,2.79,No,No,Yes,No
guarantor,2.79,No,No,No,No
honorably,2.79,No,No,No,No
hurriedly,2.79,No,No,No,No
inaudible,2.79,No,No,No,No
inflating,2.79,No,No,Yes,No
isometric,2.79,No,No,No,No
journeyed,2.79,No,No,Yes,No
navigated,2.79,No,No,Yes,No
neverland,2.79,No,No,No,No
ordinator,2.79,No,No,No,No
parabolic,2.79,No,No,No,No
persecute,2.79,No,No,No,No
propriety,2.79,No,No,No,No
quartered,2.79,No,No,Yes,No
resection,2.79,No,No,No,No
sideboard,2.79,No,No,No,No
silliness,2.79,Yes,No,No,No
skyrocket,2.79,No,No,No,No
storybook,2.79,No,No,No,No
terrorize,2.79,No,No,No,No
unaltered,2.79,No,No,Yes,No
unsightly,2.79,No,No,No,No
villanova,2.79,No,No,No,No
wherefore,2.79,No,No,No,No
abstained,2.78,No,No,Yes,No
accretion,2.78,No,No,No,No
activator,2.78,No,No,No,No
